time_stamp,group,sub_jap,sub_trad_en,sub_trad_sp,cosn_jap_en,cosn_jap_sp,punc_jaccard_en,punc_jaccard_sp,digits_match_en,digits_match_sp,len_ratio_en,len_ratio_sp,sbert_jap_en,sbert_jap_sp,comet_jap_en,comet_jap_sp,comet_jap_en_norm,sbert_jap_en_norm,qe_mix_en,comet_jap_sp_norm,sbert_jap_sp_norm,qe_mix_sp,flags_en,flags_sp,flags_all
0:01:18.03,ai,すみませんが　銃声の中なので　大きな声で,"Sorry — it's noisy with gunfire, so speak loudly.","Perdón, pero con los disparos de fondo, habla más fuerte.",0.0,0.0,0.0,0.0,1,1,3.0,3.3333333333333335,0.828147828578949,0.8503116965293884,0.43128135800361633,-0.23115019500255585,0.8582905344892819,0.7977888939862985,0.8340898782880886,0.49361474953750817,0.8019089087941461,0.6169324132401633,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:01:21.41,ai,はい,Yes.,Sí.,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0.9201773405075073,0.9837301969528198,0.517665684223175,0.5430669784545898,0.9043192196105287,0.9192768597260406,0.9103022756567335,0.8675931992929045,1.0,0.9205559195757427,low_punc_jaccard,low_punc_jaccard,EN:low_punc_jaccard;SP:low_punc_jaccard
0:01:22.34,ai,岡島君,Okajima.,Okajima-kun.,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0.7239060401916504,0.7222786545753479,-0.13347339630126953,0.020987756550312042,0.5573688291956997,0.6601795276987037,0.5984931085969013,0.615407656591206,0.6118137952185287,0.613970112042135,low_punc_jaccard,low_punc_jaccard,EN:low_punc_jaccard;SP:low_punc_jaccard
0:01:23.61,ai,はい,Yes.,Sí.,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0.9201773405075073,0.9837301969528198,0.517665684223175,0.5430669784545898,0.9043192196105287,0.9192768597260406,0.9103022756567335,0.8675931992929045,1.0,0.9205559195757427,low_punc_jaccard,low_punc_jaccard,EN:low_punc_jaccard;SP:low_punc_jaccard
0:01:24.27,ai,奥田さん,Okuda.,Okuda-san.,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0.546360969543457,0.5688773393630981,-0.17336463928222656,0.09763301908969879,0.5361133359526455,0.42580265219259367,0.4919890624486248,0.6524304422491138,0.384053523394405,0.5450796747072304,low_punc_jaccard,low_punc_jaccard,EN:low_punc_jaccard;SP:low_punc_jaccard
0:01:25.51,ai,はい,Yes.,Sí.,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0.9201773405075073,0.9837301969528198,0.517665684223175,0.5430669784545898,0.9043192196105287,0.9192768597260406,0.9103022756567335,0.8675931992929045,1.0,0.9205559195757427,low_punc_jaccard,low_punc_jaccard,EN:low_punc_jaccard;SP:low_punc_jaccard
0:01:26.32,ai,片岡さん,Kataoka.,Kataoka-san.,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0.7144825458526611,0.6406022310256958,-0.31164392828941345,0.06371539831161499,0.4624331426693807,0.6477395925799289,0.5365557226336,0.6360468490237935,0.4905459664287172,0.577846495985763,low_punc_jaccard,low_punc_jaccard,EN:low_punc_jaccard;SP:low_punc_jaccard
0:01:27.36,ai,はい,Yes.,Sí.,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0.9201773405075073,0.9837301969528198,0.517665684223175,0.5430669784545898,0.9043192196105287,0.9192768597260406,0.9103022756567335,0.8675931992929045,1.0,0.9205559195757427,low_punc_jaccard,low_punc_jaccard,EN:low_punc_jaccard;SP:low_punc_jaccard
0:01:27.95,ai,茅野さん,Chino.,Chino-san.,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0.6263061165809631,0.4530165195465088,-0.642427921295166,-0.02922762557864189,0.28617949894109046,0.531338073176797,0.3842429286353731,0.5911515803812141,0.21203093168011328,0.43950332090077376,low_punc_jaccard,low_punc_jaccard,EN:low_punc_jaccard;SP:low_punc_jaccard
0:01:28.89,ai,はい,Yes.,Sí.,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0.9201773405075073,0.9837301969528198,0.517665684223175,0.5430669784545898,0.9043192196105287,0.9192768597260406,0.9103022756567335,0.8675931992929045,1.0,0.9205559195757427,low_punc_jaccard,low_punc_jaccard,EN:low_punc_jaccard;SP:low_punc_jaccard
0:01:29.51,ai,神崎さん,Kanzaki.,Kanzaki-san.,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0.7208825349807739,0.697314441204071,-0.11472150683403015,0.24985593557357788,0.567360512334169,0.656188204809172,0.6028915893241702,0.7259603151007877,0.574748558747444,0.6654756125594503,low_punc_jaccard,low_punc_jaccard,EN:low_punc_jaccard;SP:low_punc_jaccard
0:01:30.45,ai,はい,Yes.,Sí.,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0.9201773405075073,0.9837301969528198,0.517665684223175,0.5430669784545898,0.9043192196105287,0.9192768597260406,0.9103022756567335,0.8675931992929045,1.0,0.9205559195757427,low_punc_jaccard,low_punc_jaccard,EN:low_punc_jaccard;SP:low_punc_jaccard
0:01:33.27,ai,はい　遅刻なしっと,Yes — no tardies.,"Bien, sin tardanzas.",0.0,0.0,0.0,0.0,1,1,2.0,1.5,0.4969078302383423,0.8499559164047241,-0.09822997450828552,0.13949652016162872,0.5761477956505803,0.3605196666837017,0.4898965440638289,0.6726522195087219,0.8013806696601398,0.7241435995692891,length_ratio_extreme;low_punc_jaccard,low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:low_punc_jaccard
0:01:36.03,ai,素晴らしい　先生　とてもうれしいです,"Wonderful. Teacher, I'm very pleased.","Excelente. Profesor, estoy muy contento.",0.0,0.0,0.0,0.0,1,1,1.6666666666666667,1.6666666666666667,0.9278618693351746,0.8909522294998169,0.456074059009552,0.6104047894477844,0.8715009799236418,0.9294211901193868,0.8946690640019398,0.9001201065077193,0.8622493225879576,0.8849717929398146,low_punc_jaccard,low_punc_jaccard,EN:low_punc_jaccard;SP:low_punc_jaccard
0:01:39.40,ai,速過ぎ,Too fast.,Demasiado rápido.,0.0,0.0,0.0,0.0,1,1,2.0,2.0,0.9793047904968262,0.9787968993186951,0.3800308108329773,0.36636555194854736,0.830982394213774,0.9973308824851418,0.8975217895223211,0.7822392084233715,0.9926753612993284,0.8664136695737543,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:01:40.86,ai,クラス一斉射撃で駄目なのかよ,Is a class-wide volley that hopeless?,¿No sirve disparar todos a la vez?,0.0,0.0,0.0,0.0,1,1,6.0,7.0,0.5706267952919006,0.7234900593757629,-0.356510728597641,-0.48206275701522827,0.43852649300082447,0.4578359178852551,0.4462502629545967,0.37241375557525275,0.6136124100886152,0.46889321738059775,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:01:43.50,ai,僕らは,We are,Nosotros somos…,0.0,0.0,1.0,0.0,1,1,2.0,2.0,0.9350437521934509,0.9264596700668335,-0.7610642313957214,-0.4073084592819214,0.22296579339355932,0.9389019786224319,0.5093402674851083,0.40852312816126773,0.9149684554332855,0.6111012590700748,length_ratio_extreme;model_discrepancy,length_ratio_extreme;low_punc_jaccard;model_discrepancy,EN:length_ratio_extreme;EN:model_discrepancy;SP:length_ratio_extreme;SP:low_punc_jaccard;SP:model_discrepancy
0:01:45.02,ai,殺し屋,assassins.,asesinos.,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0.8486101627349854,0.9608265161514282,-0.3661285936832428,-0.45125457644462585,0.43340174754134586,0.8248011784025573,0.5899615198858305,0.3872953624480767,0.9659941079522025,0.6187748606497271,low_punc_jaccard,low_punc_jaccard;model_discrepancy,EN:low_punc_jaccard;SP:low_punc_jaccard;SP:model_discrepancy
0:01:46.54,ai,僕らのターゲットは,Our target is,Nuestro objetivo es…,0.0,0.0,1.0,0.0,1,1,3.0,3.0,0.9491438865661621,0.9035634994506836,-0.07232144474983215,-0.05101313069462776,0.5899527948951805,0.9575155364442692,0.736977891514816,0.5806282934925571,0.8809737140189082,0.7007664617030975,length_ratio_extreme,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;SP:length_ratio_extreme;SP:low_punc_jaccard
0:01:49.07,ai,先生,the teacher.,el profesor.,0.0,0.0,0.0,0.0,1,1,2.0,2.0,0.41060739755630493,0.5982637405395508,-0.4877898395061493,-0.3680941164493561,0.36857624712350195,0.246594646445202,0.319783606852182,0.4274652540188145,0.4276845360139574,0.4275529668168717,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:01:50.07,ai,残念ですねぇ,"That's unfortunate, isn't it.",Qué lástima.,0.0,0.0,0.0,0.0,1,1,4.0,2.0,0.7093304991722107,0.8609867095947266,0.24176743626594543,0.38764187693595886,0.7573106807182997,0.6409383865592992,0.7107617630546994,0.7925165405571368,0.8177584722357857,0.8026133132285964,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:01:51.60,ai,今日も命中弾ゼロです,Zero hits again today.,Hoy tampoco hay impactos.,0.0,0.0,0.0,0.0,1,1,4.0,4.0,0.7162578701972961,0.5884974002838135,-0.19213669002056122,-0.3977603018283844,0.5261109101616663,0.6500831945249808,0.5756998239069921,0.4131352773681231,0.4131841107190641,0.41315481070849946,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:01:53.98,ai,数に頼る戦術は　個々の思考を疎かにする,Tactics that rely on numbers neglect individual thinking.,La táctica de confiar en la cantidad descuida el pensamiento individual.,0.0,0.0,0.0,0.0,1,1,4.0,5.5,0.8545708656311035,0.7164433002471924,0.35051149129867554,-0.006545141339302063,0.8152534359258501,0.8326698897979903,0.8222200174747062,0.6021081447448681,0.6031498415481716,0.6025248234661895,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:01:57.64,ai,目線　銃口の向き　指の動き,"Gaze, muzzle direction, finger movement.","La mirada, la dirección del cañón, el movimiento de los dedos.",0.0,0.0,0.0,0.0,1,1,1.6666666666666667,3.6666666666666665,0.7618880271911621,0.8219773769378662,-0.07420976459980011,0.30353623628616333,0.5889466299624186,0.7103194691003932,0.6374957656176085,0.7518900882072834,0.7598399583214102,0.7550700362529341,low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:02:01.38,ai,一人一人が単純過ぎます,Each one of you is too simple.,Cada uno es demasiado simple.,0.0,0.0,0.0,0.0,1,1,7.0,5.0,0.8413947820663452,0.9382146000862122,0.0500071756541729,0.22626930475234985,0.6551338965638026,0.8152761695102856,0.7191908057423958,0.7145670110875386,0.9324214091630684,0.8017087703177506,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:02:04.01,ai,もっと工夫しましょう,Use more ingenuity.,Sean más ingeniosos.,0.0,0.0,0.0,0.0,1,1,3.0,3.0,0.6785619258880615,0.8150234222412109,0.13963428139686584,0.31304731965065,0.7028904515906224,0.6003208574789838,0.6618626139459669,0.7564843291180889,0.7495151797510868,0.7536966693712881,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:02:05.91,ai,でないと,Otherwise,Si no…,0.0,0.0,1.0,0.0,1,1,1.0,2.0,0.6137434244155884,0.7215356826782227,-0.7010090947151184,-0.763977587223053,0.25496533656484177,0.5147540895893283,0.3588808377746364,0.23623740250703476,0.6107106789837508,0.3860267130977212,,length_ratio_extreme;low_punc_jaccard,SP:length_ratio_extreme;SP:low_punc_jaccard
0:02:07.43,ai,最高速度マッハ20の先生は　殺せませんよ,you won't be able to kill a teacher who can hit Mach 20.,no podrán matar al profesor que alcanza Mach 20.,0.0,0.0,0.0,0.0,1,1,6.5,4.5,0.7871811985969543,0.8060582876205444,-0.3853631913661957,-0.5265263915061951,0.4231528600529806,0.7437089316412976,0.5513752886883074,0.35093600789991947,0.736204332348523,0.5050433376793608,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:02:12.21,ai,いや　ていうかさ,"I mean, seriously—","O sea,",0.0,0.0,0.0,0.0,1,1,1.5,1.0,0.542327344417572,0.7166159749031067,0.10228073596954346,0.0087425597012043,0.6829871351456175,0.4204778721211651,0.5779834299358365,0.6094927274323367,0.6034062176197442,0.6070581235072997,low_punc_jaccard,low_punc_jaccard,EN:low_punc_jaccard;SP:low_punc_jaccard
0:02:14.37,ai,本当に全部よけてんのかよ　先生,"Are you really dodging everything, Sensei?","¿Realmente lo estás esquivando todo, profesor?",0.0,0.0,0.0,0.0,1,1,3.0,3.0,0.541303277015686,0.7221280932426453,-0.2084139734506607,-0.1899118274450302,0.51743778638538,0.419126002891085,0.4781130729876619,0.5135345618309257,0.6115902515675822,0.5527568377255883,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:02:16.60,ai,どう見ても これ　ただのBB弾だろ,"From any angle, these are just BB pellets.",A todas luces esto son solo perdigones BB.,0.0,0.0,0.0,0.0,1,1,2.6666666666666665,2.6666666666666665,0.5878686904907227,0.6198577880859375,-0.23583310842514038,-0.528820812702179,0.5028278821901494,0.48059690758635004,0.49393549234862966,0.3498277089479233,0.4597459699863002,0.39379501336327405,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:02:19.79,ai,当たってるのに　我慢してるだけじゃないの,"They're hitting you — you're just holding back, aren't you?","Está siendo alcanzado pero solo lo toleras, ¿no?",0.0,0.0,0.0,0.0,1,1,5.0,4.0,0.5752067565917969,0.7318788170814514,-0.4423539936542511,-0.6716617345809937,0.392786104784706,0.4638819151944995,0.4212244289486234,0.2808297218749491,0.6260674906247289,0.418924829374861,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:02:22.58,ai,そうよ　そうだよ,"Yeah, that's it.","Eso es, así es.",0.0,0.0,0.0,0.0,1,1,1.5,2.0,0.8128564357757568,0.855499267578125,0.22838476300239563,0.19093859195709229,0.750179909655007,0.7776027584080801,0.7611490491562363,0.6975008368241554,0.8096110760834709,0.7423449325278817,low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:02:26.18,ai,では　弾を込めて渡しなさい,"Now, load the rounds and pass them along.","Entonces, carguen las balas y pásenlas.",0.0,0.0,0.0,0.0,1,1,4.0,3.0,0.49923503398895264,0.8663304448127747,-0.19336983561515808,-0.5016738176345825,0.5254538457060371,0.36359180347546294,0.4607090288138075,0.3629408140028825,0.8256925019025768,0.5480414891627602,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:02:29.43,ai,言ったでしょう,"I told you, remember?",¿No les dije?,0.0,0.0,0.0,0.0,1,1,4.0,3.0,0.6926054358482361,0.5611605048179626,-0.34662583470344543,-0.585900604724884,0.44379352104195824,0.6188596655325553,0.5138199788381971,0.32225584298466686,0.3725960705610313,0.3423919340152126,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:02:30.96,ai,この弾は君たちにとっては無害ですが,"These rounds are harmless to you,","Estas balas son inofensivas para ustedes,",0.0,0.0,0.0,0.0,1,1,6.0,6.0,0.6800769567489624,0.887315034866333,-0.24260368943214417,0.4500153958797455,0.49922027239682665,0.6023208465419124,0.540460502054861,0.8226454923811141,0.8568490531231663,0.836326916677935,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:02:36.57,ai,国が開発した対先生用特殊弾です,developed by the government specifically for use against Sensei.,son munición especial desarrollada por el país para usar contra el profesor.,0.0,0.0,0.0,0.0,1,1,9.0,12.0,0.3326563835144043,0.8267580270767212,-0.2235606163740158,-0.24700596928596497,0.5093671086562849,0.14369167624742316,0.36309693569274015,0.485955764320605,0.7669379559729629,0.5983486409815482,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:02:40.37,ai,当たれば　先生の細胞を豆腐のように破壊できる,"If they hit, they can destroy Sensei's cells like tofu.","Si impactan, pueden destrozar las células del profesor como tofu.",0.0,0.0,0.0,0.0,1,1,5.0,5.0,0.5692522525787354,0.8521953821182251,-0.4547884166240692,-0.6162437796592712,0.38616059568381345,0.45602138693159244,0.414104912182925,0.30759885278649346,0.8047056823495163,0.5064415846117026,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:02:45.04,ai,もちろん数秒あれば再生しますが,"Of course, he regenerates in a few seconds,","Claro, se regenerará en segundos,",0.0,0.0,0.0,0.0,1,1,8.0,5.0,0.6388729810714722,0.8024834990501404,0.19116689264774323,0.2524946928024292,0.7303488857828799,0.5479275646419276,0.657380357326499,0.7272349423908543,0.7308967193376276,0.7286996531695635,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:02:48.49,ai,だが　君たちも目に入ると危ない,but if it gets in your eyes it's dangerous for you too.,pero si les entra a ustedes en los ojos es peligroso.,0.0,0.0,0.0,0.0,1,1,6.0,5.5,0.7281825542449951,0.808256208896637,-0.4931611120700836,-0.5149917602539062,0.36571423934540864,0.6658249449340096,0.48575852158084903,0.3565077049148138,0.7394676625657263,0.5096916879751788,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:02:52.18,ai,先生を殺す以外の目的で室内での発砲はしないように,Do not fire indoors for any purpose other than killing Sensei.,No disparen dentro del aula con otro fin que no sea matar al profesor.,0.0,0.0,0.0,0.0,1,1,11.0,14.0,0.5557793378829956,0.9056845903396606,0.29483965039253235,-0.02692348137497902,0.7855894708602891,0.43823582049024123,0.64664801071227,0.5922645759422024,0.8841229714862816,0.7090079341598341,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:02:57.51,ai,殺せるといいですね　卒業までに,Hopefully you'll be able to kill him before graduation.,Ojalá lo maten antes de graduarse.,0.0,0.0,0.0,0.0,1,1,4.5,3.0,0.8059476613998413,0.7502337098121643,-0.3941195011138916,-0.5204907059669495,0.4184871823561214,0.7684824998399765,0.5584853093496635,0.35385149001341853,0.6533196387035477,0.47363874948947016,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:03:02.02,ai,さあ　銃と弾を片付けましょう,"Now, put away your guns and ammo.","Bien, guarden las armas y las balas.",0.0,0.0,0.0,0.0,1,1,3.5,3.5,0.7704888582229614,0.8140115737915039,0.267855703830719,-0.2717380225658417,0.771211450749726,0.7216734081122147,0.7513962336947215,0.47400917457554026,0.7480128531404497,0.583610646001504,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:03:04.83,ai,授業を始めます,Class will begin.,Empezaremos la clase.,0.0,0.0,0.0,0.0,1,1,3.0,3.0,0.8594251871109009,0.9300573468208313,0.4135240912437439,0.15047255158424377,0.8488288222079735,0.8390780694054746,0.8449285210869739,0.6779540900388817,0.9203100513269851,0.7748964745541231,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:03:08.08,ai,椚ヶ丘中学校３-Eは　暗殺教室,"Kunugigaoka Middle School, Class 3-E: Assassination Classroom.",La clase 3-E de la escuela Kunugigaoka es… el aula de asesinato.,0.0,0.0,0.25,0.3333333333333333,0,0,3.5,6.0,0.8035157322883606,0.7645571827888489,-0.04557880386710167,0.022630900144577026,0.6042022386353931,0.7652721153189067,0.6686301893087986,0.6162013619172771,0.6745861975601086,0.6395552961744098,length_ratio_extreme;low_punc_jaccard;digits_mismatch,length_ratio_extreme;digits_mismatch,EN:length_ratio_extreme;EN:low_punc_jaccard;EN:digits_mismatch;SP:length_ratio_extreme;SP:digits_mismatch
0:03:13.64,ai,始業のベルが　今日も鳴る,The starting bell rings again today.,Suena la campana; otro día comienza.,0.0,0.0,0.0,0.0,1,1,3.0,3.0,0.8447549343109131,0.877007246017456,0.23882956802845,-0.15284857153892517,0.7557452785446728,0.8197118994431496,0.7813319269040635,0.5314376250305693,0.8415447202569354,0.6554804631211157,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
